name,url,price,original_price,image_url,brand,availability
Lian Li Galahad II LCD SL-INF ARGB 360mm CPU Liquid Cooler (White),https://mdcomputers.in/product/lian-li-galahad-ii-lcd-sl-inf-360mm-liquid-cooler-ga2alcd36inw,23390.0,47999.0,https://mdcomputers.in/image/catalog/cpu%20cooler/lian%20li/ga2alcd36inw/ga2alcd36inw-image-main00.jpg,,
Thermaltake TH240 V2 ARGB Sync CPU Liquid Cooler (Black),https://mdcomputers.in/product/thermaltake-th-240mm-liquid-cooler-cl-w361-pl12sw-a,5900.0,10390.0,https://mdcomputers.in/image/catalog/cpu%20cooler/thermaltake/cl-w361-pl12sw-a/cl-w361-pl12sw-a-image-main.jpg,,
Deepcool AK620 Digital White 120mm CPU Air Cooler,https://mdcomputers.in/product/deepcool-ak-digital-series-white-cpu-air-cooler-r-ak620-whadmn-g,7135.0,9999.0,https://mdcomputers.in/image/catalog/cpu%20cooler/deepcool/r-ak620-whadmn-g/r-ak620-whadmn-g-image-main.jpg,,
Xigmatek Frozr-O II 360 ARGB 360mm CPU Liquid Cooler with LCD Display (Black),https://mdcomputers.in/product/xigmatek-frozr-o-ii-360mm-liquid-cooler-en40443,18580.0,20000.0,https://mdcomputers.in/image/catalog/cpu%20cooler/xigmatek/en40443/en40443-image-main.jpg,,
Xigmatek Neon Aqua 240 ARGB 240mm CPU Liquid Cooler (Black),https://mdcomputers.in/product/xigmatek-neon-aqua-240mm-liquid-cooler-en49578,9960.0,15000.0,https://mdcomputers.in/image/catalog/cpu%20cooler/xigmatek/en49578/en49578-image-main.jpg,,
Xigmatek Liquid Killer X 240 ARGB 240mm CPU Liquid Cooler (Black),https://mdcomputers.in/product/xigmatek-liquid-killer-x-240mm-liquid-cooler-en47697,6480.0,,https://mdcomputers.in/image/catalog/cpu%20cooler/xigmatek/en47697/en47697-image-main.jpg,,
